recordId,riverName,stationLocation,waterLevelMeters,alertStatus,timestamp
REC-1001,Ganga River,Haridwar Central Gauge Station (STN-HAR-01),8.20,NORMAL (Safe Level),2026-09-01 08:00 AM
REC-1002,Ganga River,Rishikesh Barrage Station (STN-RSH-02),7.00,NORMAL (Safe Level),2026-09-01 09:30 AM
REC-1003,Ganga River,Kanpur Ghat Station (STN-KNP-03),17.80,WARNING (High Flow),2026-09-01 11:15 AM
REC-1004,Ganga River,Kanpur Ghat Station (STN-KNP-03),8.13,NORMAL (Safe Level),2026-09-09 09:48:03 am
REC-1005,Ganga River,Varanasi Assi Ghat Station (STN-VRN-04),9.14,NORMAL (Safe Level),2026-09-09 09:48:03 am
REC-1006,Ganga River,Haridwar Central Gauge Station (STN-HAR-01),7.44,NORMAL (Safe Level),2026-09-09 09:48:03 am
REC-1007,Ganga River,Rishikesh Barrage Station (STN-RSH-02),6.31,NORMAL (Safe Level),2026-09-09 09:48:03 am
REC-1008,Ganga River,Varanasi Assi Ghat Station (STN-VRN-04),9.26,NORMAL (Safe Level),2026-09-09 09:48:04 am
REC-1009,Ganga River,Kanpur Ghat Station (STN-KNP-03),8.25,NORMAL (Safe Level),2026-09-09 09:48:04 am
REC-1010,Ganga River,Rishikesh Barrage Station (STN-RSH-02),6.42,NORMAL (Safe Level),2026-09-09 09:48:04 am
REC-1011,Ganga River,Haridwar Central Gauge Station (STN-HAR-01),7.45,NORMAL (Safe Level),2026-09-09 09:48:04 am
REC-1012,Ganga River,Rishikesh Barrage Station (STN-RSH-02),7.37,NORMAL (Safe Level),2026-09-09 09:48:04 am
REC-1013,Ganga River,Varanasi Assi Ghat Station (STN-VRN-04),10.20,NORMAL (Safe Level),2026-09-09 09:48:04 am
REC-1014,Ganga River,Kanpur Ghat Station (STN-KNP-03),9.30,NORMAL (Safe Level),2026-09-09 09:48:04 am
REC-1015,Ganga River,Haridwar Central Gauge Station (STN-HAR-01),8.56,NORMAL (Safe Level),2026-09-09 09:48:04 am
REC-1016,Ganga River,Rishikesh Barrage Station (STN-RSH-02),8.20,NORMAL (Safe Level),2026-09-09 09:48:05 am
REC-1017,Ganga River,Varanasi Assi Ghat Station (STN-VRN-04),10.98,NORMAL (Safe Level),2026-09-09 09:48:05 am
REC-1018,Ganga River,Kanpur Ghat Station (STN-KNP-03),10.27,NORMAL (Safe Level),2026-09-09 09:48:05 am
REC-1019,Ganga River,Haridwar Central Gauge Station (STN-HAR-01),9.45,NORMAL (Safe Level),2026-09-09 09:48:05 am
REC-1020,Ganga River,Kanpur Ghat Station (STN-KNP-03),11.05,NORMAL (Safe Level),2026-09-09 09:48:05 am
REC-1021,Ganga River,Haridwar Central Gauge Station (STN-HAR-01),10.31,NORMAL (Safe Level),2026-09-09 09:48:05 am
REC-1022,Ganga River,Rishikesh Barrage Station (STN-RSH-02),8.94,NORMAL (Safe Level),2026-09-09 09:48:05 am
REC-1023,Ganga River,Varanasi Assi Ghat Station (STN-VRN-04),11.71,NORMAL (Safe Level),2026-09-09 09:48:05 am
REC-1024,Ganga River,Haridwar Central Gauge Station (STN-HAR-01),7.41,NORMAL (Safe Level),2026-09-09 09:49:06 am
REC-1025,Ganga River,Kanpur Ghat Station (STN-KNP-03),10.94,NORMAL (Safe Level),2026-09-09 09:49:06 am
